ZillowRegionName,BEARegionName,SizeRank,2021,2022,2023,Income Rank in US,% change (2021-2022),% change (2022-2023)
"Springfield, MA","Springfield, MA",85,"60,981","61,165","64,303",114,0.3,5.1
"Ogden, UT","Ogden-Clearfield, UT",87,"53,442","55,999","59,122",186,4.8,5.6
"Madison, WI","Madison, WI",88,"70,480","71,900","75,862",40,2.0,5.5
"Winston, NC","Winston-Salem, NC",89,"53,449","54,744","57,101",218,2.4,4.3
"Deltona, FL","Deltona-Daytona Beach-Ormond Beach, FL",90,"52,896","53,695","57,280",215,1.5,6.7
"Syracuse, NY","Syracuse, NY",91,"58,069","57,955","60,736",160,-0.2,4.8
"Provo, UT","Provo-Orem, UT",92,"52,031","54,282","57,531",211,4.3,6.0
"Toledo, OH","Toledo, OH",93,"54,466","55,436","58,180",195,1.8,4.9
"Wichita, KS","Wichita, KS",94,"56,548","57,170","60,375",164,1.1,5.6
"Durham, NC","Durham-Chapel Hill, NC",95,"62,626","65,122","68,654",77,4.0,5.4
"Augusta, GA","Augusta-Richmond County, GA-SC",96,"49,994","50,248","52,069",298,0.5,3.6
"Palm Bay, FL","Palm Bay-Melbourne-Titusville, FL",97,"55,485","56,550","60,162",169,1.9,6.4
"Jackson, MS","Jackson, MS",98,"53,345","54,710","58,104",197,2.6,6.2
"Harrisburg, PA","Harrisburg-Carlisle, PA",99,"60,447","61,224","64,066",118,1.3,4.6
"Spokane, WA","Spokane-Spokane Valley, WA",100,"53,679","54,710","57,886",202,1.9,5.8
"Scranton, PA","Scranton--Wilkes-Barre, PA",101,"52,617","52,467","54,826",254,-0.3,4.5
"Chattanooga, TN","Chattanooga, TN-GA",102,"53,797","56,016","58,813",191,4.1,5.0
"Modesto, CA","Modesto, CA",103,"52,389","51,092","53,058",286,-2.5,3.8
"Lancaster, PA","Lancaster, PA",104,"61,287","64,355","66,876",91,5.0,3.9
